title,link
燃料动力费清单,https://finance.ustc.edu.cn/_upload/article/files/0d/8d/322d3b56429b94e4c1e46104bcd7/00373517-3c25-4bb2-9d53-df98400a06cc.xls
测试化验加工费清单,https://finance.ustc.edu.cn/_upload/article/files/e0/08/9a868ec74b0ba7971f1a69398cef/55511f16-cd10-4006-82ce-a828fc50f618.doc
院级单位科研经费补贴分配清单,https://finance.ustc.edu.cn/_upload/article/files/d6/c5/73b660ee4546bbf13f708c96999a/6c778d7a-eb92-443a-960f-b41110b09332.xls
更改指标负责人申请表,https://finance.ustc.edu.cn/_upload/article/files/74/0d/64339ebc4a65a8c852c2e84d1637/77c0fca6-32c5-4593-8c0a-ddcb32dc3035.xls
水电汽使用费分解明细表,https://finance.ustc.edu.cn/_upload/article/files/b2/61/304297ec4eedaa52cec33648a608/71508e17-3bb1-4364-b3f2-fdc0763cd36d.xls
2010年二级核算及自收自支单位预算明细表,https://finance.ustc.edu.cn/_upload/article/files/7a/0e/0f8c676a4d4bb9fff7dfabd06575/e0f0c363-928d-44e9-a4a7-a8a62ab75534.xls
中国科学技术大学财务人员基本情况登记表,https://finance.ustc.edu.cn/_upload/article/files/29/14/4d5b27b34c59beb875df58f57e47/a8c902cb-7347-4d65-82b6-5a51841e6c0c.doc
填表说明,https://finance.ustc.edu.cn/_upload/article/files/76/b3/8772205e4113aabc2c7f67524c37/8e984e06-cd84-4647-9d6a-07a4ca17b823.doc
银行账户情况报告表,https://finance.ustc.edu.cn/_upload/article/files/a9/5f/e46fcb134ebf924f2921bcb8ae1c/e8b1889d-73ab-467a-8c8e-16f69fec3180.xls
小金库自查自纠报告表,https://finance.ustc.edu.cn/_upload/article/files/70/13/3c25a2e24aee8044618f866b8fde/afa3171d-0606-4ef1-ba10-c8cab9c087a4.xls
2024年度助学项目申请表,https://stuhome.ustc.edu.cn/2024/0924/c2310a654523/page.htm
2024年本科生迎新工作指南,https://stuhome.ustc.edu.cn/2024/0822/c2310a651502/page.htm
本科生入校毕业档案管理操作手册,https://stuhome.ustc.edu.cn/2024/0522/c2310a641613/page.htm
2024届本科毕业生离校指南,https://stuhome.ustc.edu.cn/2024/0521/c2310a641526/page.htm
2024届本科毕业生各项工作日程表,https://stuhome.ustc.edu.cn/2024/0521/c2310a641525/page.htm
2024年奖学金通知下载,https://stuhome.ustc.edu.cn/2024/0313/c2310a632220/page.htm
本科生火车票优惠卡乘车区间变更申请表,https://stuhome.ustc.edu.cn/2023/0915/c2310a612308/page.htm
本科生档案查（借）阅申请表,https://stuhome.ustc.edu.cn/2023/0706/c2310a608020/page.htm
中国科学学技术大学学生临时困难补助申请表2023版,https://stuhome.ustc.edu.cn/2023/0425/c2310a600499/page.htm
2023年奖学金通知下载,https://stuhome.ustc.edu.cn/2023/0317/c2310a595418/page.htm
2022年度郭沫若奖学金评审通知及附件,https://stuhome.ustc.edu.cnhttp://xgyth.ustc.edu.cn/usp/home/uploadfile/637304913652120123/638040379206395219.rar
2022年国仪工匠奖学金通知及附件,https://stuhome.ustc.edu.cn/2022/0928/c2310a571732/page.htm
2022年牛津仪器明日之星奖学金通知及附件,https://stuhome.ustc.edu.cn/2022/0928/c2310a571730/page.htm
2022年专项奖学金通知及附件,https://stuhome.ustc.edu.cnhttp://xgyth.ustc.edu.cn/usp/home/uploadfile/637304913652120123/638000706561238925.rar
2022年宝钢奖学金发文材料,https://stuhome.ustc.edu.cnhttp://xgyth.ustc.edu.cn/usp/home/uploadfile/637304913652120123/637980597266167757.rar
中国科学技术大学本科生信息采集表,https://stuhome.ustc.edu.cn/2022/0830/c2310a566117/page.htm
本科生毕业去向导入模板,https://stuhome.ustc.edu.cn/2022/0830/c2310a566116/page.htm
禁毒歌曲《生命》MP4,https://stuhome.ustc.edu.cn/2022/0607/c2310a557554/page.htm
禁毒宣传公益短片——逝去的幸福,https://stuhome.ustc.edu.cn/2022/0607/c2310a557553/page.htm
禁毒宣传公益短片——无孔不入的第三代毒品,https://stuhome.ustc.edu.cn/2022/0607/c2310a557552/page.htm
禁毒宣传公益短片——别让“我以为”变成“我后悔”,https://stuhome.ustc.edu.cn/2022/0607/c2310a557551/page.htm
禁毒宣传公益短片——青春不是挥霍的筹码,https://stuhome.ustc.edu.cn/2022/0607/c2310a557550/page.htm
2022届本科毕业生工作日程表,https://stuhome.ustc.edu.cn/2022/0517/c2310a554678/page.htm
2022届本科毕业生离校指南,https://stuhome.ustc.edu.cn/2022/0517/c2310a554677/page.htm
2022年郭永怀奖学金发文材料,https://stuhome.ustc.edu.cnhttp://xgyth.ustc.edu.cn/usp/home/uploadfile/637304913652120123/637838206522245178.rar
2022年中国科学院院长奖学金发文材料,https://stuhome.ustc.edu.cnhttp://xgyth.ustc.edu.cn/usp/home/uploadfile/637304913652120123/637838204541203172.rar
2021-2022学年度各类助学项目申请表,https://stuhome.ustc.edu.cn/2021/0928/c2310a524230/page.htm
经济困难学生补充认定申请表,https://stuhome.ustc.edu.cn/2021/0108/c2310a467505/page.htm
中国科学技术大学本科生退宿租房居住审批表,https://stuhome.ustc.edu.cn/2020/0827/c2310a445162/page.htm
2020年征兵公益宣传片微电影版《筑梦青春》,https://stuhome.ustc.edu.cn/2020/0804/c2310a442163/page.htm
2020年征兵公益宣传片综合版《参军报国 不负韶华》,https://stuhome.ustc.edu.cn/2020/0804/c2310a442164/page.htm
安徽省普通高校品学兼优毕业生审批表,https://stuhome.ustc.edu.cn/2020/0429/c2310a419690/page.htm
中国科学技术大学优秀毕业生审批表,https://stuhome.ustc.edu.cn/2020/0429/c2310a419689/page.htm
预防网贷警示视频——《柳暗》,https://stuhome.ustc.edu.cn/2019/0929/c2310a392709/page.htm
预防网贷警示视频——《黑洞》,https://stuhome.ustc.edu.cn/2019/0929/c2310a392708/page.htm
